title,authors,year,venue,citations,url,abstract
A graph-based hyper-heuristic for educational timetabling problems,"E. Burke, B. McCollum, A. Meisels, S. Petrovic, Rong Qu",2007.0,European Journal of Operational Research,566,https://www.semanticscholar.org/paper/eb96c59aa7098dfa6a326fc81e479d5deca20908,
Improvements to graph coloring register allocation,"Preston Briggs, K. Cooper, Linda Torczon",1994.0,ACM Transactions on Programming Languages and Systems,424,https://www.semanticscholar.org/paper/26ae5ec6b744877edba267d2f4d0d0c8d8c7578d,
Internet of Vehicles: From Intelligent Grid to Autonomous Cars and Vehicular Clouds,"D. S. Kumar, Ch. Ramesh Babu",2016.0,,382,https://www.semanticscholar.org/paper/aa9501f157cbeb1e977b8083c108605246eff860,
Genetic and hybrid algorithms for graph coloring,"C. Fleurent, J. Ferland",1996.0,Annals of Operations Research,350,https://www.semanticscholar.org/paper/2c86f8eca57b5de84d9644cf0a00e6fbea570649,
Iterated register coalescing,"Lal George, A. Appel",1996.0,ACM-SIGACT Symposium on Principles of Programming Languages,318,https://www.semanticscholar.org/paper/7ff8a341f18de0883236f0c99ee20372290c1d77,
A Parallel Graph Coloring Heuristic,"Mark T. Jones, P. Plassmann",1993.0,SIAM Journal on Scientific Computing,266,https://www.semanticscholar.org/paper/a2a543255d7db24dbd71798d87eac5cf30883b3a,
A Parallel Tabu Search Algorithm for Large Traveling Salesman Problems,C. Fiechter,1994.0,Discrete Applied Mathematics,258,https://www.semanticscholar.org/paper/6614d3ea2528b61ba4c5dcb5f6f0c7371abd6ac8,"Abstract Tabu search is a general heuristic procedure for global optimization which has been successfully applied to several types of difficult combinatorial optimization problems (scheduling, graph coloring, etc.). Based on this technique, an efficient algorithm for getting almost optimal solutions of large traveling salesman problems is proposed. The algorithm uses the intermediate- and long-term memory concepts of tabu search as well as a new kind of move. Experimental results are presented for problems of 500–100 000 cities and a new estimation of the asymptotic normalized length of the shortest tour through points uniformly distributed in the unit square is given. Finally, as the algorithm is well suited for parallel computation, an implementation on a transputer network is described. Numerical results and speedups obtained show the efficiency of the parallel algorithm."
Distributed scheduling of broadcasts in a radio network,"R. Ramaswami, Keshab K. Parhi",1989.0,"IEEE INFOCOM '89, Proceedings of the Eighth Annual Joint Conference of the IEEE Computer and Communications Societies",250,https://www.semanticscholar.org/paper/c15bad81a95f5302c27b3b240f6e7f65d295ab70,
Channel assignment in cellular radio,"Abstract Kumar, N. Sivarajan, R. McEliece, J. W. Ketchum",1989.0,IEEE Vehicular Technology Conference,242,https://www.semanticscholar.org/paper/5f87d748777f56b92a269e935777b3d42e0097d7,
Measuring instance difficulty for combinatorial optimization problems,"K. Smith‐Miles, Leo Lopes",2012.0,Computers & Operations Research,212,https://www.semanticscholar.org/paper/7ebacceca305585760480ac6f4cf7207300cd448,
On the solution-space geometry of random constraint satisfaction problems,"D. Achlioptas, F. Ricci-Tersenghi",2006.0,Symposium on the Theory of Computing,210,https://www.semanticscholar.org/paper/541bb269d03f3352f4de8432f42dfe0f321ad16f,"For a number of random constraint satisfaction problems, such as random k-SAT and random graph/hypergraph coloring, there are very good estimates of the largest constraint density for which solutions exist. Yet, all known polynomial-time algorithms for these problems fail to find solutions even at much lower densities. To understand the origin of this gap we study how the structure of the space of solutions evolves in such problems as constraints are added. In particular, we prove that much before solutions disappear, they organize into an exponential number of clusters, each of which is relatively small and far apart from all other clusters. Moreover, inside each cluster most variables are frozen, i.e., take only one value. The existence of such frozen variables gives a satisfying intuitive explanation for the failure of the polynomial-time algorithms analyzed so far. At the same time, our results establish rigorously one of the two main hypotheses underlying Survey Propagation, a heuristic introduced by physicists in recent years that appears to perform extraordinarily well on random constraint satisfaction problems."
Almost All k-Colorable Graphs are Easy to Color,J. Turner,1988.0,J. Algorithms,210,https://www.semanticscholar.org/paper/01812956576df0c24db5fe313f1df791dae73633,
A graph coloring heuristic using partial solutions and a reactive tabu scheme,"I. Blöchliger, N. Zufferey",2008.0,Computers & Operations Research,195,https://www.semanticscholar.org/paper/bb43e24ac568a7f245e485d160d86a2392d45199,
A Spectral Technique for Coloring Random 3-Colorable Graphs,D. Welsh,1994.0,,177,https://www.semanticscholar.org/paper/d2b34b3788b01d7a961c2c60a0cb6cd3f1e8e60a,
